,2010,,,,,,,,,,,2015,,,,,,,,
Country,TB,Malaria,HIV,RoundWorm,HookWorm,WhipWorm,Schistosomiasis,Onchocerciasis,LF,,Country,TB,Malaria,HIV,RoundWorm,HookWorm,WhipWorm,Schistosomiasis,Onchocerciasis,LF
Sum,"49,601,144.32","81,553,992.71","81,989,587.10","536,178.16","1,502,232.12","316,173.41","4,415,808",0,"2,733,474.97",,Sum,"40,095,338.00","55,757,362.58","55,020,292.41","433,700.64","511,972.54","135,788.55","1,826,017.64","1,135,571.32","2,071,066.85"
Afghanistan,"424,662.00","203,229.00","24,041.45","18,958.87",653.1,270.76,-,,0,,Afghanistan,"199,258.79","277,055.27","10,450.00","17,344.31",303.14,225.88,0,,
Albania,"2,210.93",3.62,"2,035.05",-,-,-,-,,0,,Albania,373.97,0,79.56,-,-,-,0,,
Algeria,"100,018.00",9.12,"48,627.20","1,271.95",0.6,4.37,"32,572",,0,,Algeria,"57,181.59",242.21,"7,730.51",325.44,0.47,1.56,"5,620.39",,
American Samoa,,,0,0.11,271.55,0,-,,0,,American Samoa,29.19,0.83,26.71,-,-,-,0,,42.78
Andorra,28.58,0.06,0,-,-,-,-,,0,,Andorra,9.15,0,81.52,-,-,-,0,,
Angola,"282,554.00","4,207.70","664,303.09","2,668.36","6,092.72",696.5,2,,"9,248.81",,Angola,"301,773.79","1,272,263.88","558,453.73","5,861.28","7,024.96",761.09,"27,389.72","7,668.31","21,893.16"
Anguilla,,,0,-,-,-,-,,"50,448.70",,Anguilla,-,,,-,-,-,0,,
Antigua and Barbuda,35.14,0.07,398.28,-,1.25,-,4,,0,,Antigua and Barbuda,24.15,0,407.41,-,0,-,21.36,,
Argentina,"35,133.00",37.79,"90,351.03",985.61,"3,201.06",2.33,-,,0,,Argentina,"19,493.82",216.76,"45,490.59",239.01,"2,286.37",1.44,0,,
Armenia,"6,661.82",1,"6,542.66",40.39,2.26,-,-,,0,,Armenia,"4,161.80",0,500.54,2.16,0.03,-,0,,
Aruba,,,0,-,-,-,-,,0,,Aruba,-,,,-,-,-,0,,
Australia,"2,280.60",80.38,"8,155.93",-,-,-,-,,0,,Australia,"1,285.61",0,"4,693.57",-,-,-,0,,
Austria,"1,806.32",2.24,"3,843.56",-,-,-,-,,0,,Austria,"1,079.62",0,"2,414.42",-,-,-,0,,
Azerbaijan,"36,243.90",12.16,"7,728.93",219.28,0.18,-,-,,0,,Azerbaijan,"32,612.43",72.21,"4,482.89",42.72,0.1,-,0,,
Bahamas,257.69,0.5,0,0.09,4.1,-,-,,0,,Bahamas,300.48,0,"4,511.46",-,-,-,0,,
Bahrain,"1,121.14",0.6,"3,566.45",0.35,16.42,-,-,,0,,Bahrain,462.12,0,976.21,-,0.01,-,0,,
Bangladesh,"1,207,620.00","191,646.00","11,816.73","60,114.60","59,303.90","11,523.26",-,,"50,449.05",,Bangladesh,"673,373.93","139,506.79","7,583.04","36,203.49","38,013.61","8,778.73",0,,"89,819.70"
Barbados,78.89,0.31,"2,047.09",0.04,2.36,-,-,,0,,Barbados,78.7,0,"1,128.31",-,0,-,0,,
Belarus,"32,962.20",25.42,"12,746.90",-,-,-,-,,0,,Belarus,"16,549.66",0,"24,546.69",-,-,-,0,,
Belgium,"2,794.83",4.52,"5,265.51",-,-,-,-,,0,,Belgium,"1,461.48",0,"2,610.62",-,-,-,0,,
Belize,544.3,106.88,"9,661.12",9.17,25.06,0,-,,0,,Belize,570.9,8.67,"4,613.86",2.43,2.52,0.03,0,,
Benin,"76,239.00","987,357.00","150,467.33",501.05,807.81,0.38,"38,207",,"17,208.07",,Benin,"103,073.22","722,666.65","113,912.68",974.56,839.54,0.48,"33,972.10","5,272.58","4,481.75"
Bermuda,,,0,-,-,-,-,,0,,Bermuda,6.79,0.32,421.58,-,0,-,0,,
