,2010,,,,,,,,,,,2013,,,,,,,,
Country,TB,Malaria,HIV,RoundWorm,HookWorm,WhipWorm,Schistosomiasis,Onchocerciasis,LF,,Country,TB,Malaria,HIV,RoundWorm,HookWorm,WhipWorm,Schistosomiasis,Onchocerciasis,LF
Sum,"49,601,145","81,553,992.71","81,989,587.10","536,178.16","1,502,232.12","316,173.41","3,057,883",N/A - no model,"2,733,474.97",,Sum,"49,798,430.00","65,309,700.00","70,925,759.79",1203800,2036000,562700,"1,945,173.09",1156000,"2,016,800.00"
Afghanistan,"424,662","203,229.00","24,041.45","18,958.87",653.1,270.76,-,,0,,Afghanistan,"448,000.00","113,300.00","6,800.82",27300,700,400,0,,
Albania,"2,211",3.62,"2,035.05",-,-,-,-,,0,,Albania,900,0,85.12,,,,0,,
Algeria,"100,018",9.12,"48,627.20","1,271.95",0.6,4.37,"32,572",,0,,Algeria,"61,900.00",700,"4,116.87",1400,100,0,"5,580.51",,
American Samoa,,,0,0.11,271.55,0,-,,0,,American Samoa,,,108.87,,,,0,,
Andorra,29,0.06,0,-,-,-,-,,0,,Andorra,0,0,61.84,,,,0,,
Angola,"282,554","4,207.70","664,303.09","2,668.36","6,092.72",696.5,2,,"9,248.81",,Angola,"396,600.00","912,400.00","670,361.24",10200,14600,1200,"27,487.80",7700,"24,700.00"
Anguilla,,,0,-,-,-,-,,"50,448.70",,Anguilla,,,0,,,,0,,
Antigua and Barbuda,35,0.07,398.28,-,1.25,-,4,,0,,Antigua and Barbuda,100,0,387.71,,,,20.37,,
Argentina,"35,133",37.79,"90,351.03",985.61,"3,201.06",2.33,-,,0,,Argentina,"26,700.00",100,"87,981.61",800,12200,0,0,,
Armenia,"6,662",1,"6,542.66",40.39,2.26,-,-,,0,,Armenia,"5,900.00",0,"1,344.85",0,0,,0,,
Aruba,,,0,-,-,-,-,,0,,Aruba,,,0,,,,0,,
Australia,"2,281",80.38,"8,155.93",-,-,-,-,,0,,Australia,"2,100.00",0,"5,510.00",,,,0,,
Austria,"1,806",2.24,"3,843.56",-,-,-,-,,0,,Austria,"1,500.00",0,"3,808.71",,,,0,,
Azerbaijan,"36,244",12.16,"7,728.93",219.28,0.18,-,-,,0,,Azerbaijan,"37,100.00",0,"2,480.19",100,0,,0,,
Bahamas,258,0.5,0,0.09,4.1,-,-,,0,,Bahamas,,,0,,,,0,,
Bahrain,"1,121",0.6,"3,566.45",0.35,16.42,-,-,,0,,Bahrain,500,0,813.53,0,0,,0,,
Bangladesh,"1,207,620","191,646.00","11,816.73","60,114.60","59,303.90","11,523.26",-,,"50,449.05",,Bangladesh,"591,800.00","9,500.00","14,896.29",120200,166900,32400,0,,"94,700.00"
Barbados,79,0.31,"2,047.09",0.04,2.36,-,-,,0,,Barbados,300,0,"1,187.49",0,0,,0,,
Belarus,"32,962",25.42,"12,746.90",-,-,-,-,,0,,Belarus,"28,700.00",0,"19,574.13",,,,0,,
Belgium,"2,795",4.52,"5,265.51",-,-,-,-,,0,,Belgium,"2,400.00",0,"4,579.95",,,,0,,
Belize,544,106.88,"9,661.12",9.17,25.06,0,-,,0,,Belize,400,100,"4,251.79",0,100,0,0,,
Benin,"76,239","987,357.00","150,467.33",501.05,807.81,0.38,"38,207",,"17,208.07",,Benin,"87,100.00","605,400.00","147,701.80",1200,1900,0,"37,324.88",6200,"5,600.00"
Bermuda,,,0,-,-,-,-,,0,,Bermuda,,,386.67,,,,0,,
Bhutan,"4,924",785.32,"1,764.96",40.18,15.47,0.25,-,,0,,Bhutan,"3,400.00",700,"1,607.85",100,0,0,0,,
Bolivia,"65,784","1,609.15","60,819.68",342.97,"3,404.24",39.78,-,,0,,Bolivia,"26,500.00",300,"27,874.18",900,8500,100,0,,
"Bonaire, Saint Eustatius and Saba",,,0,-,-,-,-,,0,,"Bonaire, Saint Eustatius and Saba",,,0,,,,0,,
Bosnia and Herzegovina,"5,631",3.59,"2,391.06",-,-,-,-,,0,,Bosnia and Herzegovina,"4,200.00",0,155.42,,,,0,,
Botswana,"18,662","10,480.60","232,000.80",27.18,717.19,105.04,-,,0,,Botswana,"51,000.00","9,800.00","368,816.85",100,2000,200,"3,170.69",,
Brazil,"270,727","15,091.60","993,330.08",-,"28,071.17",-,"32,612",,"2,252.79",,Brazil,"238,600.00","16,200.00","750,766.45",26200,86900,9000,"108,688.28",,"1,700.00"
British Virgin Islands,,,0,-,-,-,-,,0,,British Virgin Islands,,,0,,,,0,,
Brunei Darussalam,611,0.09,216.34,-,-,-,-,,0,,Brunei Darussalam,300,0,0,,,,0,,
Bulgaria,"8,694",6.02,"9,668.97",-,-,-,-,,0,,Bulgaria,"4,800.00",0,"2,574.43",,,,0,,
Burkina Faso,"177,180","3,425,380.00","368,232.28",187.42,"1,915.47",0.17,"10,294",,"22,750.32",,Burkina Faso,"214,700.00","2,142,900.00","238,891.21",5000,3700,0,"16,487.16",,"10,500.00"
Burundi,"374,071","1,014,600.00","553,394.08",664.02,"3,821.01",163.85,"29,993",,"12,762.75",,Burundi,"324,700.00","934,300.00","239,226.84",3700,15000,300,"16,118.17",13100,
Cambodia,"181,934","108,689.00","82,054.13",101.67,685.69,-,"3,968",,"4,988.91",,Cambodia,"132,200.00","64,100.00","94,302.55",700,700,,"7,697.90",,400
Cameroon,"165,351","1,776,360.00","1,548,028.75","9,443.39","5,021.66","2,029.69","38,886",,"39,237.23",,Cameroon,"203,500.00","1,553,300.00","1,564,332.54",22200,13700,2900,"40,124.60",92900,"26,200.00"
Canada,"4,034",115.87,"32,963.31",-,-,-,-,,0,,Canada,"3,400.00",0,"22,003.00",,,,0,,
Cape Verde,"1,567","3,119.09","5,962.26",0.24,9.63,0.06,-,,0,,Cape Verde,"1,800.00",0,"7,015.23",0,0,0,0,,
Cayman Islands,,,0,-,-,-,-,,0,,Cayman Islands,,,0,,,,0,,
Central African Republic,"143,960","512,419.00","488,382.99",314.26,"2,385.51",42.73,"3,076",,"1,407.62",,Central African Republic,"162,100.00","277,500.00","479,639.25",1900,7000,100,"4,207.72",700,"7,200.00"
Chad,"184,497","941,398.00","482,579.84",92.05,"4,298.03",0.21,"20,551",,"17,036.00",,Chad,"237,500.00","806,900.00","628,278.39",6600,11000,0,"28,653.82",15100,"11,600.00"
Chile,"14,690",5.02,"31,277.63",910.59,3.27,13.83,-,,0,,Chile,"14,300.00",0,"26,363.84",2300,0,100,0,,
China,"1,732,860","11,717.30","1,751,701.14","34,593.90","617,875.60","3,196.92","250,588",,0,,China,"1,790,700.00","11,700.00","1,084,213.09",58400,295500,12800,"34,174.36",,"8,500.00"
"China, Hong Kong SAR",,,0,-,-,-,-,,0,,"China, Hong Kong SAR",,,0,,,,0,,
"China, Macao SAR",,,0,-,-,-,-,,0,,"China, Macao SAR",,,0,,,,0,,
Colombia,"51,305","4,189.72","479,459.81","9,528.06","11,107.27","2,268.43",-,,0,,Colombia,"49,100.00","31,700.00","129,114.73",20800,33400,5400,0,,
