Impact Score'!FB5=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TB,,,,,,,Malaria (p.falc),,,,,,,,,,,,,,,,Malaria (p.vivax),,,,,,,,,,Malaria,HIV,,,,,,,,,,,,,RoundWorm,,,Hookworm,,Whipworm,,,,,,Worms,Schistosomiasis,,LF,,,,Total,,,TB,,,,,,,Malaria (p.falc),,,,,,,,,,,,,,,,,,,Malaria (p.vivax),,,,,,,,,,Malaria,HIV,,,,,,,,,,,RoundWorm,,,Hookworm,,Whipworm,,,,,,Worms,Schistomasis,,Onchocerciasis,,LF,,,,Total
Country,Impact of Active TB/HIV+ Treatment Regimen,Impact of Active TB/HIV- Treatment Regimen,Impact of MDR-TB Treatment Regimen,,,Impact of XDR-TB Treatment Regimen,Total Impact,Impact of AL,Impact of AS+SP,Impact of DHA-PPQ,Impact of AS+MQ,Impact of AS+AQ,Impact of CQ + PQ,Impact of DHA-PPQ + PQ,Impact of ART + NQ,Impact of ART + PPQ,Impact of AL + PQ,Impact of AS + AQ + PQ,Impact of SP,Impact of AS + MQ + PQ,Impact of QN + CL,Impact of QN + CD,Total Impact (p.falc),Impact of CQ + PQ,Impact of CQ,Impact of DHA-PPQ,Impact of QN,Impact of AL,Impact of AL + PQ,Impact of AS,Impact of AS + AQ,Impact of AS + AQ + PQ,Total Impact (p.vivax),Total Impact,Impact of 3TC,Impact of ABC,Impact of AZT,Impact of ddl,Impact of d4T,Impact of EFV,Impact of FTC,Impact of LPV/r,Impact of NVP,Impact of TDF,Impact of ATV/r,Impact of NFV,Total Impact,Alb,Mbd,Ivm+Alb,Alb,Mbd,Alb,Mbd,Ivm+Alb,Impact of Roundworm,Impact of Hookworm,Impact of Whipworm,Total Impact,PZQ,Total Impact,Impact of Single Dose of DEC (6mg/kg),Impact of Single dose of DEC (6mg/kg)+ALB(400mg),Impact of Combination of ALB(400mg)+IVM(400ug/kg),Total Impact,,,Country,Impact of Active TB/HIV+ Treatment Regimen,Impact of Active TB/HIV- Treatment Regimen,Impact of MDR-TB Treatment Regimen,,,Impact of XDR-TB Treatment Regimen,Total Impact,AL,AL+PQ,AM,ART+NQ,ART+PPQ,AS+AQ,AS+MQ,AS+MQ+PQ,AS+SP,AS+SP+PQ,AT+PG,CQ+PQ,DHA-PPQ,DHA-PPQ+PQ,PQ,QN,QN+CL,QN+D,Total Impact (p.falc),CQ + PQ,CQ,DHA-PPQ,QN,AL,AL + PQ,AS,AS + AQ,AS + AQ + PQ,Total Impact (p.vivax),Total Impact,Impact of 3TC,Impact of ABC,Impact of AZT,Impact of ddl,Impact of d4T,Impact of EFV,Impact of FTC,Impact of LPV/r,Impact of NVP,Impact of TDF,Total Impact,Alb,Mbd,Ivm+Alb,Alb,Mbd,Alb,Mbd,Ivm+Alb,Impact of Roundworm,Impact of Hookworm,Impact of Whipworm,Total Impact,PZQ,Total Impact,Impact of Ivermectin,Total Impact,Impact of Single Dose of DEC (6mg/kg),Impact of Single dose of DEC (6mg/kg)+ALB(400mg),Impact of Combination of ALB(400mg)+IVM(400ug/kg),Total Impact,
Drug,"isoniazid (INH or H), rifampin (R or RMP), ethambutol (E or EMB), and pyrazinamide (Z or PZA).","isoniazid (INH or H), rifampin (R or RMP), ethambutol (E or EMB), and pyrazinamide (Z or PZA).",Z+S+Lfx+Eto+Cs+PAS,S+Lfx+Eto+Cs+PAS,Km+Lfx+Eto+Cs+PAS,Cs+ Km(or)Amk(or)Cm+Lfx(or)Mfx(or)Gfx(or)Ofx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drug,"isoniazid (INH or H), rifampin (R or RMP), ethambutol (E or EMB), and pyrazinamide (Z or PZA).","isoniazid (INH or H), rifampin (R or RMP), ethambutol (E or EMB), and pyrazinamide (Z or PZA).",Z+S+Lfx+Eto+Cs+PAS,S+Lfx+Eto+Cs+PAS,Km+Lfx+Eto+Cs+PAS,Cs+ Km(or)Amk(or)Cm+Lfx(or)Mfx(or)Gfx(or)Ofx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,"7,133,910.14","45,420,189.41","9,264.42","1,434.30","15,212.37","33,466.60","52,613,477.24","7,165,675.17","336,901.65","1,372.02","1,484.07","2,075,404.74",0,0,0,0,0,0,0,0,0,0,"9,580,837.65","2,426,015.77",0,0,0,0,0,0,0,0,"2,426,015.77","12,006,853.42","1,179,856.35","17,059.03","506,104.85","9,387.78","505,695.15","488,551.56","71,725.58","39,642.15","800,809.94","234,968.49","3,197.20",55.31,"3,857,053.38","22,370.84","22,187.79",33.49,"66,619.67","18,318.14",306.43,"1,975.51",0,"44,592.12","84,937.81","2,281.93","131,811.86","523,708.14","523,708.14",18.09,"105,370.32","19,350.51","124,738.92","78,838,480.63",,Total,"525,060.40","3,492,803.89","121,775.89","18,853.07","220,249.81","30,037.20","4,408,780.26","34,908,567.93",0,0,0,0,"19,634,222.47",108.99,0,"20,355.12",0,0,146.31,0,0,0,0,0,"3,513.35","54,566,914.17","93,245.03","27,399.19",0,0,0,0,0,0,0,"120,644.22","54,687,558.39",0,0,0,0,0,0,0,0,0,0,0,"223,264.02","974,495.67",0,"10,171.94","555,479.44","1,314.66","1,990.79",0,"1,197,759.69","565,651.38","3,305.46","1,766,716.53","179,346.01","179,346.01","1,251,049.39","1,251,049.39",128.78,"114,876.96","32,777.14","147,782.88","62,441,233.46"
Afghanistan,142.16,"532,437.45",0,0,0,119.7,"532,699.31",0,"1,475.90",0,0,0,0,0,0,0,0,0,0,0,0,0,"1,475.90",43687.66712,0,0,0,0,0,0,0,0,43687.66712,"45,163.57",8.55,0.02,3.61,0.07,3.68,3.65,0.6,0.23,6.02,1.92,0,0,28.35,"3,127.81","3,391.63",-,88.04,37.58,6.89,10.75,-,"6,519.44",125.61,17.64,"6,662.69",-,-,-,-,-,-,"586,029.82",,Afghanistan,"2,297.95","14,536.45","1,679.53",260.02,"3,117.35",89.2,"21,980.51",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"35,113.26",0,0,0,0,0,0,0,0,"35,113.26","35,113.26",0,0,0,0,0,0,0,0,0,0,0,"86,181.76",0,0,0,0,15.51,0,0,"86,181.76",0,15.51,"86,197.27",0,0,0,0,0,0,0,0,"143,291.04"
Albania,0,"2,936.43",0,0,0,0.11,"2,936.54",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15,0.16,0.42,0.01,0.59,0.38,0,0.15,0.62,0,0,0,3.48,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,940.03",,Albania,4.31,27.28,0,0,0,0.17,31.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.76
Algeria,"9,715.35","94,242.66",9.28,1.44,13.81,82.16,"104,064.70",0.11,0.1,0.11,0.11,0.1,0,0,0,0,0,0,0,0,0,0,0.52,0,0,0,0,0,0,0,0,0,0,0.52,934.99,8.18,394.12,7.54,406.89,388.3,60.61,28.06,655.38,196.13,0,0,"3,080.20",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"107,145.94",,Algeria,664.02,"4,200.44",497.95,77.09,692.02,22.35,"6,153.88",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,153.88"
American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,,American Samoa,0.35,2.25,0,0,0,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6
Andorra,0,30.95,0,0,0,0.02,30.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30.98,,Andorra,0.11,0.67,0,0,0,0,0.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78
Angola,"140,518.33","102,342.36",0.95,0.15,1.38,232.09,"243,095.24",67.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.58,0,0,0,0,0,0,0,0,0,0,67.58,"14,752.69",212.14,"6,188.41",121.22,"6,464.10","6,060.05",910.9,505.11,"10,241.87","2,953.37",0,0,"48,409.87",-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,"291,640.28",,Angola,"3,670.22","23,217.17",0,0,0,0,"26,887.39","946,518.84",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"946,518.84",0,0,0,0,0,0,0,0,0,0,"946,518.84",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207.08,207.08,"8,307.17","8,307.17",0,0,0,0,"981,920.48"
Anguilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,,Anguilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
