2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,TB,,,,,,,Malaria (p.falc),,,,,,,,,,,,,,,,Malaria (p.vivax),,,,,,,,,,Malaria,HIV,,,,,,,,,,,,,RoundWorm,,,,,,Hookworm,,,,,,Whipworm,,,,,,,,,Worms,Schistomasis,,,,,,,LF,,,,Total,,2013,TB,,,,,,,Malaria (p.falc),,,,,,,,,,,,,,,,,,,Malaria (p.vivax),,,,,,,,,,Malaria,HIV,,,,,,,,,,,RoundWorm,,,,,,Hookworm,,,,,,Whipworm,,,,,,,,,Worms,Schistomasis,,,,,,,Onchocerciasis,,LF,,,,Total
Country,Impact of Active TB/HIV+ Treatment Regimen,Impact of Active TB/HIV- Treatment Regimen,Impact of MDR-TB Treatment Regimen,,,Impact of XDR-TB Treatment Regimen,Total Impact,Impact of AL,Impact of AS+SP,Impact of DHA-PPQ,Impact of AS+MQ,Impact of AS+AQ,Impact of CQ+PQ,Impact of DHA-PPQ+PQ,Impact of ART+NQ,Impact of ART+PPQ,Impact of AL+PQ,Impact of AS+AQ+PQ,Impact of SP,Impact of AS+MQ+PQ,Impact of QN+CL,Impact of QN+CD,Total Impact (p.falc),Impact of CQ+PQ,Impact of CQ,Impact of DHA-PPQ,Impact of QN,Impact of AL,Impact of AL+PQ,Impact of AS,Impact of AS+AQ,Impact of AS+AQ+PQ,Total Impact (p.vivax),Total Impact,Impact of 3TC,Impact of ABC,Impact of AZT,Impact of ddl,Impact of d4T,Impact of EFV,Impact of FTC,Impact of LPV/r,Impact of NVP,Impact of TDF,Impact of ATV/r,Impact of NFV,Total Impact,Impact Score'!CP5=,Mbd,Ivm+Alb,Dec+Alb,Pzq+Alb,Pzq+Mbd,Alb,Mbd,Ivm+Alb,Dec+Alb,Pzq+Alb,Pzq+Mbd,Alb,Mbd,Ivm+Alb,Dec+Alb,Pzq+Alb,Pzq+Mbd,Impact of Roundworm,Impact of Hookworm,Impact of Whipworm,Total Impact,IVM+ALB,DEC+ALB,PZQ,IVM,DEC,ALB,Total Impact,Impact of Single Dose of DEC (6mg/kg),Impact of Single dose of DEC (6mg/kg)+ALB(400mg),Impact of Combination of ALB(400mg)+IVM(400ug/kg),Total Impact,,,Country,Impact of Active TB/HIV+ Treatment Regimen,Impact of Active TB/HIV- Treatment Regimen,Impact of MDR-TB Treatment Regimen,,,Impact of XDR-TB Treatment Regimen,Total Impact,AL,AL+PQ,AM,ART+NQ,ART+PPQ,AS+AQ,AS+MQ,AS+MQ+PQ,AS+SP,AS+SP+PQ,AT+PG,CQ+PQ,DHA-PPQ,DHA-PPQ+PQ,PQ,QN,QN+CL,QN+D,Total Impact (p.falc),CQ+PQ,CQ,DHA-PPQ,QN,AL,AL+PQ,AS,AS+AQ,AS+AQ+PQ,Total Impact (p.vivax),Total Impact,Impact of 3TC,Impact of ABC,Impact of AZT,Impact of ddl,Impact of d4T,Impact of EFV,Impact of FTC,Impact of LPV/r,Impact of NVP,Impact of TDF,Total Impact,Alb,Mbd,Ivm+Alb,Dec+Alb,Pzq+Alb,Pzq+Mbd,Alb,Mbd,Ivm+Alb,Dec+Alb,Pzq+Alb,Pzq+Mbd,Alb,Mbd,Ivm+Alb,Dec+Alb,Pzq+Alb,Pzq+Mbd,Impact of Roundworm,Impact of Hookworm,Impact of Whipworm,Total Impact,IVM+ALB,DEC+ALB,PZQ,IVM,DEC,ALB,Total Impact,Impact of Ivermectin,Total Impact,Impact of Single Dose of DEC (6mg/kg),Impact of Single dose of DEC (6mg/kg)+ALB(400mg),Impact of Combination of ALB(400mg)+IVM(400ug/kg),Total Impact,
Drug,"isoniazid (INH or H), rifampin (R or RMP), ethambutol (E or EMB), and pyrazinamide (Z or PZA).","isoniazid (INH or H), rifampin (R or RMP), ethambutol (E or EMB), and pyrazinamide (Z or PZA).",Z+S+Lfx+Eto+Cs+PAS,S+Lfx+Eto+Cs+PAS,Km+Lfx+Eto+Cs+PAS,Cs+ Km(or)Amk(or)Cm+Lfx(or)Mfx(or)Gfx(or)Ofx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drug,"isoniazid (INH or H), rifampin (R or RMP), ethambutol (E or EMB), and pyrazinamide (Z or PZA).","isoniazid (INH or H), rifampin (R or RMP), ethambutol (E or EMB), and pyrazinamide (Z or PZA).",Z+S+Lfx+Eto+Cs+PAS,S+Lfx+Eto+Cs+PAS,Km+Lfx+Eto+Cs+PAS,Cs+ Km(or)Amk(or)Cm+Lfx(or)Mfx(or)Gfx(or)Ofx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,"7,133,910.14","45,420,189.41","9,264.42","1,434.30","15,212.37","33,466.60","52,613,477.24","7,165,495.12","336,901.65","1,372.02","1,484.07","2,075,403.97",0,0,0,0,0,0,0,0,0,0,"9,580,656.83","214,997.45",0,0,0,0,0,0,0,0,"214,997.45","9,795,654.28","1,181,018.07","17,061.57","506,598.07","9,396.83","506,197.04","489,037.33","71,804.18","39,670.98","801,634.72","235,222.97","3,197.20",55.31,"3,860,894.27","1,194,094.69","767,231.47",0,0,0,0,"296,900.38","240,301.43",0,0,0,0,"4,486.84",0,0,0,0,0,"1,961,326.16","537,201.81","4,486.84","2,503,014.81",0,0,"331,453.27",0,0,0,"331,453.27",25.13,"88,626.25","34,100.32","122,751.70","69,227,245.58",,Total,"4,359,659.14","38,911,035.09","13,014.78","2,014.92","24,274.32","39,730.65","43,349,728.89","121,340.15",0,0,0,10.44,"73,693.07","120,868.87",0,"6,385.12",0,0,2.79,255.85,0,0,26.78,0,81.92,"322,664.99",751.8,"1,194.56",0,0,0.17,0,0,0,0,"1,946.53","324,611.52","1,257,590.98",0,"756,248.09",0,"415,552.89","259,858.39","137,203.01",0,"1,134,935.60","222,993.02","4,184,381.98","3,232,921.99","1,202,881.84",0,"2,088.06",0,0,"150,743.05","1,260,664.95",0,"1,344.31",0,0,"8,925.21",0,0,0,0,0,"4,437,891.89","1,412,752.30","8,925.21","5,859,569.41",0,0,"649,024.13",0,0,0,"649,024.13","482,971.88","482,971.88",64.97,"43,030.91","159,741.55","202,837.43","55,053,125.25"
Afghanistan,142.16,"532,437.45",0,0,0,119.7,"532,699.31",0,"1,475.90",0,0,0,0,0,0,0,0,0,0,0,0,0,"1,475.90",43687.66712,0,0,0,0,0,0,0,0,43687.66712,"45,163.57",8.55,0.02,3.61,0.07,3.68,3.65,0.6,0.23,6.02,1.92,0,0,28.35,"115,325.50","225,280.37",-,-,-,-,611.47,342.35,-,-,-,-,42.88,-,-,-,-,-,"340,605.88",953.83,42.88,"341,602.59",-,-,-,-,-,-,-,-,-,-,-,"919,493.81",,Afghanistan,321.75,"418,114.79",16.19,2.51,28.37,299.93,"418,783.54",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.7,0,0,0,0,0,0,0,0,24.7,24.7,39,0,23.13,0,12.99,8.16,4.4,0,35.24,7.27,130.2,0,"32,831.59",0,0,0,0,0,269.05,0,0,0,0,0,0,0,0,0,0,"32,831.59",269.05,0,"33,100.64",0,0,0,0,0,0,0,0,0,0,0,0,0,"452,039.08"
Albania,0,"2,936.43",0,0,0,0.11,"2,936.54",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15,0.16,0.42,0.01,0.59,0.38,0,0.15,0.62,0,0,0,3.48,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,940.03",,Albania,12.06,915.68,0,0,0,0.03,927.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,927.77
Algeria,"9,715.35","94,242.66",9.28,1.44,13.81,82.16,"104,064.70",0.11,0.1,0.11,0.11,0.1,0,0,0,0,0,0,0,0,0,0,0.52,0,0,0,0,0,0,0,0,0,0,0.52,934.99,8.18,394.12,7.54,406.89,388.3,60.61,28.06,655.38,196.13,0,0,"3,080.20",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"107,145.42",,Algeria,"5,183.39","49,247.39",0,0,0,49.04,"54,479.83",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.2,0.2,55.73,0,33.52,0,18.49,10.74,5.67,0,50.67,9.39,184.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"54,664.25"
American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,,American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,0,0.14,0,0.08,0.05,0.03,0,0.22,0.04,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8
Andorra,0,30.95,0,0,0,0.02,30.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30.98,,Andorra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0.09,0,0.05,0.03,0.02,0,0.13,0.03,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49
Angola,"140,518.33","102,342.36",0.95,0.15,1.38,232.09,"243,095.24",67.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.58,0,0,0,0,0,0,0,0,0,0,67.58,"14,752.69",212.14,"6,188.41",121.22,"6,464.10","6,060.05",910.9,505.11,"10,241.87","2,953.37",0,0,"48,409.87",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,,-,-,-,-,-,-,-,-,"291,572.69",,Angola,"25,485.33","294,577.99",42.93,6.65,61.18,511.78,"320,685.85","4,318.63",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,318.63",0,0,0,0,0,0,0,0,0,0,"4,318.63","3,224.09",0,"1,927.66",0,"1,072.21",643.32,342.91,0,"2,923.68",567.14,"10,701.02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,244.92",0,0,0,"1,244.92","4,016.32","4,016.32",0,0,0,0,"340,966.74"
Anguilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,,Anguilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,21.88,6.34,0,0,0,0.03,28.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.55,0.07,2.71,0.03,0.17,2.25,0.21,0.11,0.18,0.87,0.36,0.02,10.52,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38.78,,Antigua and Barbuda,28.63,50.8,0,0,0,0.08,79.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.91,0,3.91,0,0,7.3,3.39,0,0,3.39,21.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.4
